product_id,name,price,stock,description,image_filename,category
2,Acer Nitro Monitor 24”,149.99,2,23.8” Full HD IPS Zero Frame Gaming Monitor with 165Hz refresh rate and 1ms response time — perfect for smooth gameplay and vibrant color accuracy.,acermonitor.jpg,Monitors
3,Dell XPS 13 (2024),1399.0,11,"Sleek and powerful 13.4” InfinityEdge laptop with Intel Evo platform, 12th Gen i7, 16GB RAM, and 512GB SSD. Ultra-lightweight for productivity on the go.",dell_xps.jpg,Laptops
4, HP All-in-One Desktop,700.0,19,"24” Full HD display, Intel Core i3, 8GB RAM, 256GB SSD. Comes with wireless keyboard and mouse. A stylish and space-saving solution for home or office.",hp.jpg,Laptops
5,Logitech K380 Multi-Device Keyboard,39.99,38,"Lightweight Bluetooth keyboard for Windows, macOS, Chrome OS, Android, iOS, and more. Compact, silent typing, and easy-switch buttons for 3 devices.",keyboardlogi.jpg,Mouse & Keyboards
6,Logitech MX Master 3S Mouse,99.0,26,"Quiet click, Magspeed scroll, ergonomic design, USB-C fast charge, and customizable buttons — ideal for productivity and design professionals.",logi_mouse.jpg,Mouse & Keyboards
7,MacBook Pro 14” M2 (2023),1999.0,9,"Apple M2 Pro chip, 16GB unified memory, 512GB SSD. Brilliant Retina display, long battery life, and powerful performance in a sleek space gray body.",mac_14.jpg,Laptops
8,Samsung 870 EVO SSD (1TB),79.99,49,"Reliable and fast 2.5” SATA internal SSD with 1TB capacity. Great for boosting PC speed and performance, trusted by creators and gamers.",samsung_t7.jpg,Accessories
10,"Xbox Series S, 512GB SSD, All Digital Gaming Console, Robot White",380.0,8,"Get the Xbox Series S, the smallest, sleekest Xbox ever. At 60% smaller than Xbox Series X, it delivers the speed and performance of a next-gen, all-digital console at an accessible price point. Limit 1 per customer.
60-day price protection

Enjoy price protection for 60 days from your delivery date. If we drop the price of a physical product or you find it lower at an eligible retailer, contact us and we’ll honor a one-time price adjustment. Exclusions apply.",xbox.jpg,Gaming
11,Xbox Series S Starter Bundle including 3 Months of Game Pass Ultimate,514.0,0,"GAME PASS ULTIMATE: Jump into the world of Xbox with everything you need to play, including an Xbox Series S and hundreds of high-quality games with 3 months of Game Pass Ultimate.*
IN THE BOX: Bundle includes: Xbox Series S console, 3 month Xbox Game Pass Ultimate membership, one Xbox Wireless Controller, a high-speed HDMI cable, power cable, and 2 AA batteries.
XBOX SERIES S: Experience the best value in gaming with Xbox Series S, featuring a 512GB custom SSD.
Make the most of every gaming minute with Quick Resume, lightning-fast load times, and gameplay of up to 120 FPS—all powered by Xbox Velocity Architecture
Be the first to play new games like Starfield and Forza Motorsport on day one with the included 3 months of Game Pass Ultimate. Plus, enjoy hundreds of other high-quality games like Minecraft Legends, Halo Infinite, and Forza Horizon 5.
With Game Pass Ultimate, play together with friends via online multiplayer and enjoy an EA Play membership which gives you access to top titles on console and PC, including best-loved series like F1, Battlefield™, and STAR WARS™.",xbox_bundle.jpg,Gaming
12,Apple - iPhone 16 Pro Max 256GB - Apple Intelligence - Desert Titanium,1199.0,217,"iPhone 16 Pro Max. Built for Apple Intelligence. Featuring a stunning titanium design. Camera Control. 4K 120 fps Dolby Vision. And A18 Pro chip. STUNNING TITANIUM DESIGN—iPhone 16 Pro Max has a strong and light titanium design with a larger 6.9-inch Super Retina XDR display.² It’s remarkably durable with the latest-generation Ceramic Shield material that’s 2x tougher than any smartphone glass.

BUILT FOR APPLE INTELLIGENCE—Apple Intelligence is the personal intelligence system that helps you write, express yourself, and get things done effortlessly.¹ With groundbreaking privacy protections, it gives you peace of mind that no one else can access your data.

TAKE TOTAL CAMERA CONTROL—Camera Control gives you an easier way to quickly access camera tools, like zoom or depth of field, so you can take the perfect shot in record time.

MAGNIFICENT SHOTS—Take your videos to a whole new level with 4K 120 fps Dolby Vision, enabled by the 48MP Fusion camera. The improved 48MP Ultra Wide camera lets you capture mesmerizing detail in macro photos and wide-angle shots.

PHOTOGRAPHIC STYLES—The latest-generation Photographic Styles give you greater creative flexibility, so you can make every photo even more you. And thanks to advances in the image pipeline, you can now reverse any style, any time.

THE POWER OF A18 PRO—A18 Pro chip enables Apple Intelligence with a faster Neural Engine, improved CPU and GPU, and a big jump in memory bandwidth. It also drives advanced video and photo features and powers AAA gaming.


",16prom.jpg,Mobiles
